Date,MXWO,MXWD,LEGATRUU,HFRXGL,RX1,TY1,GC1,CO1,ES1,VG1,NQ1,LLL1,TP1,DU1,TU2
28/09/2010,1184.130,305.710,427.339,1174.680,131.790,126.438,1306.600,78.710,1141.750,2762.000,2008.500,1070.400,842.000,109.290,109.727
05/10/2010,1199.000,310.420,431.737,1178.960,131.450,126.641,1338.900,84.840,1154.750,2745.000,2018.500,1111.500,832.500,109.165,109.695
12/10/2010,1207.820,312.470,434.282,1186.320,132.010,127.078,1345.700,83.500,1164.500,2765.000,2037.000,1110.500,825.500,109.255,109.805
19/10/2010,1208.850,312.650,432.141,1192.050,130.230,127.031,1335.100,81.100,1163.750,2825.000,2067.500,1090.000,831.500,108.995,109.820
26/10/2010,1223.800,316.720,432.827,1189.050,129.360,125.719,1338.000,83.660,1182.750,2848.000,2116.000,1121.200,816.000,108.790,109.758
02/11/2010,1233.980,319.290,435.522,1192.480,129.780,126.531,1356.900,85.410,1192.750,2852.000,2150.250,1138.200,804.000,108.820,109.914
09/11/2010,1258.770,326.010,433.918,1202.060,130.360,126.531,1410.100,88.330,1211.000,2884.000,2176.250,1152.000,840.500,108.960,109.719
16/11/2010,1212.560,313.590,424.333,1196.800,128.140,125.047,1338.400,84.730,1174.750,2784.000,2090.750,1086.200,847.500,108.830,109.555
23/11/2010,1210.650,312.750,423.859,1194.450,128.880,125.406,1377.600,83.250,1178.250,2743.000,2119.000,1078.900,876.000,109.110,109.719
30/11/2010,1193.560,308.380,417.378,1192.170,128.020,125.047,1385.000,85.920,1179.500,2653.000,2117.000,1073.800,858.000,109.270,109.688
07/12/2010,1249.360,322.970,419.161,1200.650,125.590,122.500,1408.300,91.390,1223.250,2803.000,2190.000,1123.400,879.500,109.185,109.461
14/12/2010,1267.700,326.990,416.227,1203.220,124.120,120.422,1403.600,91.210,1241.750,2860.000,2215.250,1126.200,901.500,108.545,109.242
21/12/2010,1271.280,327.600,415.534,1205.810,125.170,121.250,1388.200,93.200,1250.750,2873.000,2235.250,1125.100,905.000,108.645,109.289
28/12/2010,1275.540,328.610,416.592,1210.100,125.190,119.031,1405.200,94.380,1254.000,2822.000,2225.500,1125.500,904.500,108.990,109.133
04/01/2011,1289.260,333.220,421.008,1217.300,126.110,120.313,1378.800,93.530,1265.250,2837.000,2245.500,1170.400,909.500,109.075,109.188
11/01/2011,1282.230,330.790,415.275,1220.030,125.790,120.547,1384.300,97.610,1270.500,2793.000,2285.500,1144.100,927.000,108.950,109.227
18/01/2011,1316.170,338.970,419.733,1228.960,124.060,120.594,1368.200,97.800,1294.750,2943.000,2330.750,1163.000,931.500,108.370,109.234
25/01/2011,1310.930,336.880,422.906,1221.580,123.970,120.922,1332.300,95.250,1287.500,2955.000,2301.250,1127.400,930.500,108.285,109.234
01/02/2011,1330.270,340.980,424.497,1222.760,123.010,120.297,1339.600,101.740,1302.750,3003.000,2322.500,1133.700,913.000,108.040,109.234
08/02/2011,1347.360,344.630,420.602,1227.750,122.820,117.984,1363.400,99.920,1321.750,3038.000,2362.750,1123.500,944.500,107.970,108.688
15/02/2011,1344.270,343.040,418.156,1228.540,122.680,118.641,1373.600,101.640,1326.250,3030.000,2381.500,1101.500,961.500,108.040,108.711
22/02/2011,1338.120,341.570,422.783,1235.320,124.130,120.094,1400.500,105.780,1314.500,2988.000,2321.750,1087.900,956.000,108.025,109.008
01/03/2011,1340.890,342.610,426.149,1230.370,124.060,120.438,1431.200,115.420,1301.000,2983.000,2311.500,1097.300,962.500,108.050,109.195
08/03/2011,1341.050,343.590,424.183,1233.190,123.050,119.766,1427.200,113.060,1320.000,2943.000,2333.750,1134.100,939.000,107.665,109.070
15/03/2011,1271.870,326.490,429.646,1221.860,123.020,121.609,1392.800,108.520,1280.000,2793.000,2247.500,1096.300,769.000,107.630,109.367
22/03/2011,1311.010,336.290,431.445,1216.020,122.020,121.203,1427.600,115.700,1288.250,2779.000,2257.250,1113.300,862.500,107.285,109.289
29/03/2011,1323.810,340.040,427.256,1221.060,121.500,118.766,1416.200,115.160,1316.500,2835.000,2322.500,1147.300,854.000,107.200,108.984
05/04/2011,1343.640,346.540,426.732,1225.850,120.930,118.766,1451.800,122.220,1326.750,2877.000,2323.250,1198.700,848.000,107.110,108.406
12/04/2011,1333.850,343.660,430.556,1230.760,120.460,119.094,1452.900,120.920,1308.250,2856.000,2293.000,1169.500,838.500,107.060,108.594
19/04/2011,1324.450,341.130,432.598,1223.600,122.170,120.250,1494.500,121.330,1308.500,2781.000,2311.000,1174.200,826.500,107.240,108.883
26/04/2011,1366.690,352.000,437.525,1224.240,122.510,120.672,1503.000,124.140,1341.000,2888.000,2384.750,1209.000,832.000,107.365,108.992
03/05/2011,1382.990,354.920,441.545,1227.950,122.640,121.438,1540.400,122.450,1352.000,2942.000,2389.750,1178.100,868.000,107.125,109.148
10/05/2011,1366.360,350.460,438.867,1211.270,124.010,122.094,1516.900,117.630,1353.750,2906.000,2409.250,1178.100,857.000,107.435,109.203
17/05/2011,1329.330,340.890,436.976,1208.190,124.420,122.938,1480.000,109.990,1325.500,2835.000,2337.250,1133.800,829.000,107.465,109.359
